"internal_taxon_id","CurrentTrendDataDerivation.value","nothreats.nothreats","threatsunknown.value","EOO.range"
"314550-1","Suspected","TRUE","FALSE",10319444
"766791-1","Suspected","TRUE","FALSE",15510914
"140342-2","Suspected","TRUE","FALSE",4074913
"854920-1","Suspected","TRUE","FALSE",17991882
"854710-1","Suspected","TRUE","FALSE",4041415
"822645-1","Suspected","TRUE","FALSE",2911883
