"internal_taxon_id","BasisOfRec","DEC_LONG","DEC_LAT","BINOMIAL","EVENT_YEAR","CATALOG_NO","SPATIALREF","PRESENCE","ORIGIN","SEASONAL","YEAR","DATA_SENS","SOURCE","COMPILER","CITATION"
"314550-1","HumanObservation",2.14688,6.37287,"Scleria achtenii",2003,"Pa/2003/AKN/689","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/f0a99f2c-2670-4ae8-8b9f-8661e02a33a8","",""
"314550-1","HumanObservation",2.637141,7.00347,"Scleria achtenii",NA,"Tof/2004/DL/1450","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/69608318-64d6-4267-9bc3-ac1aa47866cd","",""
"314550-1","HumanObservation",1.605155,10.174652,"Scleria achtenii",2001,"fl-aa-2016-14836","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/ef9fca55-a303-458a-b95d-eeff0e8cce46","",""
"314550-1","Unknown",1.5,9.8666,"Scleria achtenii",2013,"1118","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/0eac2479-e5d8-4e9d-bc7d-9dc689c159d5","",""
"314550-1","PreservedSpecimen",1.183333,10.15,"Scleria achtenii",2000,"137529","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/9d850f67-e358-4dfb-8748-57cd668031e8","",""
"314550-1","HumanObservation",1.1975,10.164167,"Scleria achtenii",1999,"FF-V-26091","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/672303ae-0589-4308-9e34-5f386167e60e","",""
"314550-1","HumanObservation",1.3313,10.065067,"Scleria achtenii",NA,"247478","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/80b9fe97-d586-49e0-bb4b-c3cc0c3212cf","",""
"314550-1","HumanObservation",1.204291,10.160972,"Scleria achtenii",1999,"FF-V-2876","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/672303ae-0589-4308-9e34-5f386167e60e","",""
"314550-1","PreservedSpecimen",1.5,9.85,"Scleria achtenii",1999,"2013-0009886","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/7f5260c2-f762-11e1-a439-00145eb45e9a","",""
"314550-1","HumanObservation",-4.833083,10.645717,"Scleria achtenii",NA,"238997","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/80b9fe97-d586-49e0-bb4b-c3cc0c3212cf","",""
"314550-1","HumanObservation",-5.033117,10.981383,"Scleria achtenii",NA,"238154","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/80b9fe97-d586-49e0-bb4b-c3cc0c3212cf","",""
"314550-1","HumanObservation",-4.834,10.871383,"Scleria achtenii",NA,"238425","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/80b9fe97-d586-49e0-bb4b-c3cc0c3212cf","",""
"314550-1","PreservedSpecimen",11.616667,-0.116667,"Scleria achtenii",1986,"WAG.1776497","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/15f819bd-6612-4447-854b-14d12ee1022d","",""
"314550-1","PreservedSpecimen",11.616667,-0.116667,"Scleria achtenii",1986,"10674","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/dd6ef36f-3345-4c9e-9188-161de0668127","",""
"314550-1","PreservedSpecimen",10.008333,-2.74,"Scleria achtenii",1991,"WAG.1776495","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/15f819bd-6612-4447-854b-14d12ee1022d","",""
"314550-1","PreservedSpecimen",9.316667,-1.683333,"Scleria achtenii",2008,"1306663","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/dd6ef36f-3345-4c9e-9188-161de0668127","",""
"314550-1","PreservedSpecimen",9.433333,-2.066667,"Scleria achtenii",2008,"1306661","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/dd6ef36f-3345-4c9e-9188-161de0668127","",""
"314550-1","PreservedSpecimen",12.556667,-0.186667,"Scleria achtenii",2004,"WAG.1776494","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/15f819bd-6612-4447-854b-14d12ee1022d","",""
"314550-1","PreservedSpecimen",9.316667,-1.683333,"Scleria achtenii",2008,"1306662","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/dd6ef36f-3345-4c9e-9188-161de0668127","",""
"314550-1","PreservedSpecimen",11.616667,-0.116667,"Scleria achtenii",1986,"WAG.1776493","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/15f819bd-6612-4447-854b-14d12ee1022d","",""
