kingdom,phylum,classname,ordername,family
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SANTALALES,Cynomoriaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,Cyperaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,Cyrillaceae
PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,POLYPODIALES,Cystopteridaceae
PLANTAE,BRYOPHYTA,BRYOPSIDA,HOOKERIALES,Daltoniaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,DAPHNIPHYLLALES,Daphniphyllaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,Dasypogonaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,VIOLALES,Datiscaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,Davidsoniaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,Degeneriaceae
PLANTAE,RHODOPHYTA,FLORIDEOPHYCEAE,CERAMIALES,Delesseriaceae
PLANTAE,ANTHOCERATOPHYTA,ANTHOCEROTOPSIDA,DENDROCEROTALES,Dendrocerotaceae
PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,POLYPODIALES,Dennstaedtiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,Dialypetalanthaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,DIAPENSIALES,Diapensiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CELASTRALES,Dichapetalaceae
PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,CYATHEALES,Dicksoniaceae
PLANTAE,BRYOPHYTA,BRYOPSIDA,DICRANALES,Dicranaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,Didiereaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,DIDYMELALES,Didymelaceae
PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,POLYPODIALES,Didymochlaenaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,THEALES,Diegodendraceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,DILLENIALES,Dilleniaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,VIOLALES,Dioncophyllaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,Dioscoreaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SANTALALES,Dipentodontaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,DIPSACALES,Dipsacaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,THEALES,Dipterocarpaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GERANIALES,Dirachmaceae
PLANTAE,BRYOPHYTA,BRYOPSIDA,DICRANALES,Ditrichaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,Doryanthaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,Dracaenaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,NEPENTHALES,Droseraceae
