VALUE,LEVEL3_NAM,LEVEL3_COD
251,Oklahoma,OKL
252,Oman,OMA
253,Ontario,ONT
254,Oregon,ORE
255,Pakistan,PAK
256,Palestine,PAL
257,Panama,PAN
258,Paraguay,PAR
260,Pennsylvania,PEN
261,Peru,PER
262,Philippines,PHI
263,Phoenix Is.,PHX
264,Pitcairn Is.,PIT
265,Poland,POL
266,Portugal,POR
267,Primorye,PRM
259,Prince Edward I.,PEI
268,Puerto Rico,PUE
62,Qinghai,CHQ
270,Québec,QUE
269,Queensland,QLD
271,Réunion,REU
272,Rhode I.,RHO
273,Rodrigues,ROD
274,Romania,ROM
280,Rwanda,RWA
281,Sakhalin,SAK
282,Samoa,SAM
289,Santa Cruz Is.,SCZ
283,Sardegna,SAR
284,Saskatchewan,SAS
285,Saudi Arabia,SAU
291,Selvagens,SEL
292,Senegal,SEN
293,Seychelles,SEY
295,Sicilia,SIC
296,Sierra Leone,SIE
297,Sinai,SIN
287,Society Is.,SCI
299,Socotra,SOC
300,Solomon Is.,SOL
301,Somalia,SOM
298,South Australia,SOA
286,South Carolina,SCA
288,South China Sea,SCS
290,South Dakota,SDA
278,South European Russia,RUS
294,South Georgia,SGE
304,South Sandwich Is.,SSA
311,Southwest Caribbean,SWC
302,Spain,SPA
303,Sri Lanka,SRL
305,St.Helena,STH
306,Sudan,SUD
307,Sulawesi,SUL
308,Sumatera,SUM
309,Surinam,SUR
310,Svalbard,SVA
314,Swaziland,SWZ
312,Sweden,SWE
313,Switzerland,SWI
337,Tadzhikistan,TZK
315,Taiwan,TAI
316,Tanzania,TAN
317,Tasmania,TAS
321,Tennessee,TEN
322,Texas,TEX
323,Thailand,THA
64,Tibet,CHT
325,Togo,TOG
326,Tokelau-Manihiki,TOK
327,Tonga,TON
319,Transcaucasus,TCS
328,Trinidad-Tobago,TRT
320,Tristan da Cunha,TDC
329,Tuamotu,TUA
330,Tubuai Is.,TUB
332,Tunisia,TUN
333,Turkey,TUR
331,Turkey-in-Europe,TUE
324,Turkmenistan,TKM
318,Turks-Caicos Is.,TCI
335,Tuva,TVA
334,Tuvalu,TUV
338,Uganda,UGA
339,Ukraine,UKR
340,Uruguay,URU
341,Utah,UTA
342,Uzbekistan,UZB
