"internal_taxon_id","kingdom","phylum","classname","ordername","family","genus","species","taxonomicAuthority"
"320035-2","PLANTAE","TRACHEOPHYTA","LILIOPSIDA","POALES","Poaceae","Poa","annua","L."
"2356-2","PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","SCROPHULARIALES","Gesneriaceae","Achimenes","flava","C.V.Morton"
"664971-1","PLANTAE","TRACHEOPHYTA","LILIOPSIDA","ARECALES","Arecaceae","Calamus","aruensis","Becc."
